D:\Git\images\angry\angry0.png,angry
D:\Git\images\angry\angry1.png,angry
D:\Git\images\angry\angry2.png,angry
D:\Git\images\angry\angry3.png,angry
D:\Git\images\angry\angry4.png,angry
D:\Git\images\angry\angry5.png,angry
D:\Git\images\angry\angry6.png,angry
D:\Git\images\angry\angry7.png,angry
D:\Git\images\angry\angry8.png,angry
D:\Git\images\angry\angry9.png,angry
D:\Git\images\angry\angry10.png,angry
D:\Git\images\angry\angry11.png,angry
D:\Git\images\angry\angry12.png,angry
D:\Git\images\angry\angry13.png,angry
D:\Git\images\angry\angry14.png,angry
D:\Git\images\angry\angry15.png,angry
D:\Git\images\angry\angry16.png,angry
D:\Git\images\angry\angry17.png,angry
D:\Git\images\angry\angry18.png,angry
D:\Git\images\angry\angry19.png,angry
D:\Git\images\angry\angry20.png,angry
D:\Git\images\angry\angry21.png,angry
D:\Git\images\angry\angry22.png,angry
D:\Git\images\angry\angry23.png,angry
D:\Git\images\angry\angry24.png,angry
D:\Git\images\angry\angry25.png,angry
D:\Git\images\angry\angry26.png,angry
D:\Git\images\angry\angry27.png,angry
D:\Git\images\angry\angry28.png,angry
D:\Git\images\angry\angry29.png,angry
D:\Git\images\angry\angry30.png,angry
D:\Git\images\angry\angry31.png,angry
D:\Git\images\angry\angry32.png,angry
D:\Git\images\angry\angry33.png,angry
D:\Git\images\angry\angry34.png,angry
D:\Git\images\angry\angry35.png,angry
D:\Git\images\angry\angry36.png,angry
D:\Git\images\angry\angry37.png,angry
D:\Git\images\angry\angry38.png,angry
D:\Git\images\angry\angry39.png,angry
D:\Git\images\angry\angry40.png,angry
D:\Git\images\angry\angry41.png,angry
D:\Git\images\angry\angry42.png,angry
D:\Git\images\angry\angry43.png,angry
D:\Git\images\angry\angry44.png,angry
D:\Git\images\angry\angry45.png,angry
D:\Git\images\angry\angry46.png,angry
D:\Git\images\angry\angry47.png,angry
D:\Git\images\angry\angry48.png,angry
D:\Git\images\angry\angry49.png,angry
D:\Git\images\angry\angry50.png,angry
D:\Git\images\angry\angry51.png,angry
D:\Git\images\angry\angry52.png,angry
D:\Git\images\angry\angry53.png,angry
D:\Git\images\angry\angry54.png,angry
D:\Git\images\angry\angry55.png,angry
D:\Git\images\angry\angry56.png,angry
D:\Git\images\angry\angry57.png,angry
D:\Git\images\angry\angry58.png,angry
D:\Git\images\angry\angry59.png,angry
D:\Git\images\angry\angry60.png,angry
D:\Git\images\angry\angry61.png,angry
D:\Git\images\angry\angry62.png,angry
D:\Git\images\angry\angry63.png,angry
D:\Git\images\angry\angry64.png,angry
D:\Git\images\angry\angry65.png,angry
D:\Git\images\angry\angry66.png,angry
D:\Git\images\angry\angry67.png,angry
D:\Git\images\angry\angry68.png,angry
D:\Git\images\angry\angry69.png,angry
D:\Git\images\angry\angry70.png,angry
D:\Git\images\angry\angry71.png,angry
D:\Git\images\angry\angry72.png,angry
D:\Git\images\angry\angry73.png,angry
D:\Git\images\angry\angry74.png,angry
D:\Git\images\angry\angry75.png,angry
D:\Git\images\angry\angry76.png,angry
D:\Git\images\angry\angry77.png,angry
D:\Git\images\angry\angry78.png,angry
D:\Git\images\angry\angry79.png,angry
D:\Git\images\angry\angry80.png,angry
D:\Git\images\angry\angry81.png,angry
D:\Git\images\angry\angry82.png,angry
D:\Git\images\angry\angry83.png,angry
D:\Git\images\angry\angry84.png,angry
D:\Git\images\angry\angry85.png,angry
D:\Git\images\angry\angry86.png,angry
D:\Git\images\angry\angry87.png,angry
D:\Git\images\angry\angry88.png,angry
D:\Git\images\angry\angry89.png,angry
D:\Git\images\angry\angry90.png,angry
D:\Git\images\angry\angry91.png,angry
D:\Git\images\angry\angry92.png,angry
D:\Git\images\angry\angry93.png,angry
D:\Git\images\angry\angry94.png,angry
D:\Git\images\angry\angry95.png,angry
D:\Git\images\angry\angry96.png,angry
D:\Git\images\angry\angry97.png,angry
D:\Git\images\angry\angry98.png,angry
D:\Git\images\angry\angry99.png,angry
D:\Git\images\angry\angry100.png,angry
D:\Git\images\angry\angry101.png,angry
D:\Git\images\angry\angry102.png,angry
D:\Git\images\angry\angry103.png,angry
D:\Git\images\angry\angry104.png,angry
D:\Git\images\angry\angry105.png,angry
D:\Git\images\angry\angry106.png,angry
D:\Git\images\angry\angry107.png,angry
D:\Git\images\angry\angry108.png,angry
D:\Git\images\angry\angry109.png,angry
D:\Git\images\angry\angry110.png,angry
D:\Git\images\angry\angry111.png,angry
D:\Git\images\angry\angry112.png,angry
D:\Git\images\angry\angry113.png,angry
D:\Git\images\angry\angry114.png,angry
D:\Git\images\angry\angry115.png,angry
D:\Git\images\angry\angry116.png,angry
D:\Git\images\angry\angry117.png,angry
D:\Git\images\angry\angry118.png,angry
D:\Git\images\angry\angry119.png,angry
D:\Git\images\angry\angry120.png,angry
D:\Git\images\angry\angry121.png,angry
D:\Git\images\angry\angry122.png,angry
D:\Git\images\angry\angry123.png,angry
D:\Git\images\angry\angry124.png,angry
D:\Git\images\angry\angry125.png,angry
D:\Git\images\angry\angry126.png,angry
D:\Git\images\angry\angry127.png,angry
D:\Git\images\angry\angry128.png,angry
D:\Git\images\angry\angry129.png,angry
D:\Git\images\angry\angry130.png,angry
D:\Git\images\angry\angry131.png,angry
D:\Git\images\angry\angry132.png,angry
D:\Git\images\angry\angry133.png,angry
D:\Git\images\angry\angry134.png,angry
D:\Git\images\angry\angry135.png,angry
D:\Git\images\angry\angry136.png,angry
D:\Git\images\angry\angry137.png,angry
D:\Git\images\angry\angry138.png,angry
D:\Git\images\angry\angry139.png,angry
D:\Git\images\angry\angry140.png,angry
D:\Git\images\angry\angry141.png,angry
D:\Git\images\angry\angry142.png,angry
D:\Git\images\angry\angry143.png,angry
D:\Git\images\angry\angry144.png,angry
D:\Git\images\angry\angry145.png,angry
D:\Git\images\angry\angry146.png,angry
D:\Git\images\angry\angry147.png,angry
D:\Git\images\angry\angry148.png,angry
D:\Git\images\angry\angry149.png,angry
